direction	ligand_complex	ligand_subunits	receptor_complex	receptor_subunits	annotation	pathway_name	interaction_name	L_mean_sender	L_pct_sender	L_rn	R_mean_receiver	R_pct_receiver	R_rn	prob
Tac1+_neuron -> Cx3cr1+_immune	Ptn	Ptn	Sdc4	Sdc4	Secreted Signaling	PTN	PTN_SDC4	1.46996601898288	0.910377358490566	0.982453077258839	1.29763892299533	0.762790697674419	0.984024443474465	0.631287105061
Tac1+_neuron -> Cx3cr1+_immune	Ptn	Ptn	Ncl	Ncl	Secreted Signaling	PTN	PTN_NCL	1.46996601898288	0.910377358490566	0.982453077258839	1.16579640231026	0.893023255813953	0.980576167612396	0.630375729467304
Tac1+_neuron -> Cx3cr1+_immune	App	App	Cd74	Cd74	Cell-Cell Contact	APP	APP_CD74	2.13557749381362	0.981132075471698	0.993976429506766	0.566194321806064	0.465116279069767	0.944216499345264	0.623283380856501
Tac1+_neuron -> Cx3cr1+_immune	Cadm1	Cadm1	Cadm1	Cadm1	Cell-Cell Contact	CADM	CADM1_CADM1	1.50105698073881	0.976415094339623	0.983326058489742	0.456101747599066	0.493023255813954	0.925229157573112	0.614969682798147
Tac1+_neuron -> Cx3cr1+_immune	Ncam1	Ncam1	Ncam1	Ncam1	Cell-Cell Contact	NCAM	NCAM1_NCAM1	2.17056583581386	1	0.994369271060672	0.33090586901513	0.302325581395349	0.89266695766041	0.60757137261776
Tac1+_neuron -> Cx3cr1+_immune	Cx3cl1	Cx3cl1	Cx3cr1	Cx3cr1	Secreted Signaling	CX3C	CX3CL1_CX3CR1	0.458162419108313	0.693396226415094	0.876342208642514	2.51919451681561	1	0.994762112614579	0.602259838229651
Tac1+_neuron -> Cx3cr1+_immune	Mif	Mif	CD74_CXCR4	Cd74;Cxcr4	Secreted Signaling	MIF	MIF_CD74_CXCR4	2.02944322105733	0.995283018867924	0.992754255783501	0.324158161281483	0.237209302325581	0.875429826593055	0.601460354761132
Tac1+_neuron -> Cx3cr1+_immune	Ptn	Ptn	Ptprz1	Ptprz1	Secreted Signaling	PTN	PTN_PTPRZ1	1.46996601898288	0.910377358490566	0.982453077258839	0.273863211754223	0.181395348837209	0.868485377564382	0.596549858011618
Tac1+_neuron -> Cx3cr1+_immune	Ptn	Ptn	Sdc3	Sdc3	Secreted Signaling	PTN	PTN_SDC3	1.46996601898288	0.910377358490566	0.982453077258839	0.240382069584	0.311627906976744	0.850021824530773	0.590098930081358
Tac1+_neuron -> Cx3cr1+_immune	Gas6	Gas6	Mertk	Mertk	Secreted Signaling	GAS	GAS6_MERTK	0.384661147032313	0.716981132075472	0.84941073766914	0.669626159172502	0.655813953488372	0.954997817546923	0.582886716612445
Tac1+_neuron -> Cx3cr1+_immune	Thy1	Thy1	ITGAM_ITGB2	Itgam;Itgb2	Cell-Cell Contact	THY1	THY1_ITGAM_ITGB2	0.380468796747548	0.589622641509434	0.847533828022697	0.681290235080543	0.493023255813954	0.949829680040376	0.580858762148968
Tac1+_neuron -> Cx3cr1+_immune	Jam3	Jam3	F11r	F11r	Cell-Cell Contact	JAM	JAM3_F11R	0.33216571263841	0.627358490566038	0.824487123526844	1.17204254796018	0.837209302325581	0.980619816673941	0.580262657625939
Tac1+_neuron -> Cx3cr1+_immune	Psap	Psap	Gpr37l1	Gpr37l1	Secreted Signaling	PSAP	PSAP_GPR37L1	1.94636141149826	0.990566037735849	0.991357485814055	0.186806393350457	0.130232558139535	0.812789175032737	0.578345360221729
Tac1+_neuron -> Cx3cr1+_immune	Jam3	Jam3	ITGAM_ITGB2	Itgam;Itgb2	Cell-Cell Contact	JAM	JAM3_ITGAM_ITGB2	0.33216571263841	0.627358490566038	0.824487123526844	0.681290235080543	0.493023255813954	0.949829680040376	0.572480242770806
Tac1+_neuron -> Cx3cr1+_immune	Sema4g	Sema4g	Plxnb2	Plxnb2	Cell-Cell Contact	SEMA4	SEMA4G_PLXNB2	0.299105126439355	0.627358490566038	0.805150589262331	0.690721922764525	0.683720930232558	0.956787429070275	0.566876879923979
Tac1+_neuron -> Cx3cr1+_immune	Bdnf	Bdnf	Ntrk2	Ntrk2	Secreted Signaling	NT	BDNF_NTRK2	0.463253179930998	0.613207547169811	0.877520733304234	0.243265550816896	0.218604651162791	0.851898734177215	0.561490080456293
Tac1+_neuron -> Cx3cr1+_immune	Mif	Mif	CD74_CD44	Cd74;Cd44	Secreted Signaling	MIF	MIF_CD74_CD44	2.02944322105733	0.995283018867924	0.992754255783501	0.169663091587057	0.0744186046511628	0.763446598386258	0.558225264732275
Tac1+_neuron -> Cx3cr1+_immune	Cntn1	Cntn1	Nrcam	Nrcam	Cell-Cell Contact	CNTN	CNTN1_NRCAM	1.3927147012114	0.985849056603774	0.979834133566128	0.140100628338642	0.134883720930233	0.767350501964208	0.556939646894493
Tac1+_neuron -> Cx3cr1+_immune	Mif	Mif	Ackr3	Ackr3	Secreted Signaling	MIF	MIF_ACKR3	2.02944322105733	0.995283018867924	0.992754255783501	0.122616363755798	0.144186046511628	0.746398952422523	0.550589445651124
Tac1+_neuron -> Cx3cr1+_immune	Ptn	Ptn	ITGAV_ITGB3	Itgav;Itgb3	Secreted Signaling	PTN	PTN_ITGAV_ITGB3	1.46996601898288	0.910377358490566	0.982453077258839	0.122628958512666	0.0976744186046512	0.739940879104673	0.545289825089086
Tac1+_neuron -> Cx3cr1+_immune	Dlk1	Dlk1	Notch2	Notch2	Cell-Cell Contact	NOTCH	DLK1_NOTCH2	0.299636359262651	0.30188679245283	0.805368834570057	0.264019335069771	0.348837209302326	0.863465735486687	0.540544104813816
Tac1+_neuron -> Cx3cr1+_immune	Sema4a	Sema4a	Plxnb2	Plxnb2	Cell-Cell Contact	SEMA4	SEMA4A_PLXNB2	0.211669069675807	0.476415094339623	0.742252291575731	0.690721922764525	0.683720930232558	0.956787429070275	0.540311400069442
Tac1+_neuron -> Cx3cr1+_immune	Dll3	Dll3	Notch2	Notch2	Cell-Cell Contact	NOTCH	DLL3_NOTCH2	0.293368674111034	0.561320754716981	0.801527717154081	0.264019335069771	0.348837209302326	0.863465735486687	0.539103168695526
Tac1+_neuron -> Cx3cr1+_immune	Negr1	Negr1	Negr1	Negr1	Cell-Cell Contact	NEGR	NEGR1_NEGR1	1.44508914676707	0.938679245283019	0.981492797904845	0.105810592813327	0.134883720930233	0.722697512003492	0.536942436740678
Tac1+_neuron -> Cx3cr1+_immune	Gas6	Gas6	Axl	Axl	Secreted Signaling	GAS	GAS6_AXL	0.384661147032313	0.716981132075472	0.84941073766914	0.17879408201505	0.232558139534884	0.80615451767787	0.53634326815512
Tac1+_neuron -> Cx3cr1+_immune	L1cam	L1cam	ITGAV_ITGB3	Itgav;Itgb3	Cell-Cell Contact	L1CAM	L1CAM_ITGAV_ITGB3	0.777027317234623	0.877358490566038	0.93963334788302	0.122628958512666	0.0976744186046512	0.739940879104673	0.535029411435719
Tac1+_neuron -> Cx3cr1+_immune	Mdk	Mdk	Sdc4	Sdc4	Secreted Signaling	MK	MDK_SDC4	0.182888630775143	0.268867924528302	0.715320820602357	1.29763892299533	0.762790697674419	0.984024443474465	0.533928416484398
Tac1+_neuron -> Cx3cr1+_immune	Nampt	Nampt	ITGA5_ITGB1	Itga5;Itgb1	Secreted Signaling	VISFATIN	NAMPT_ITGA5_ITGB1	0.294646994646625	0.636792452830189	0.80235704932344	0.309945402468693	0.158139534883721	0.845455039336338	0.533645179317591
Tac1+_neuron -> Cx3cr1+_immune	Mdk	Mdk	Lrp1	Lrp1	Secreted Signaling	MK	MDK_LRP1	0.182888630775143	0.268867924528302	0.715320820602357	1.21932812061554	0.869767441860465	0.981798341335661	0.533431472086168
Tac1+_neuron -> Cx3cr1+_immune	Mdk	Mdk	Ncl	Ncl	Secreted Signaling	MK	MDK_NCL	0.182888630775143	0.268867924528302	0.715320820602357	1.16579640231026	0.893023255813953	0.980576167612396	0.533157595531992
Tac1+_neuron -> Cx3cr1+_immune	Mpzl1	Mpzl1	Mpzl1	Mpzl1	Cell-Cell Contact	MPZ	MPZL1_MPZL1	0.61531628476012	0.85377358490566	0.914709733740725	0.12232517169239	0.148837209302326	0.7457005674378	0.531148451687885
